modelType,modelVersion,name,cardName,number,securityCode,pinCode,type,expirationDateMonth,expirationDateYear,notes,title,url,username,password,favorite,text,color,firstName,lastName,country,zip,city,street,street2,company,county,region,email,phoneNumber
CreditCard,1,John Doe,HSBC Credit Card,4.11111E+15,123,1234,visa,5,2024,,,,,,,,,,,,,,,,,,,,
CreditCard,1,John Doe,Amex,3.74245E+14,1234,1234,american-express,8,2023,Notes about this CC,,,,,,,,,,,,,,,,,,,
CreditCard,1,John Doe,Citibank MasterCard,5.55556E+15,123,909,master-card,1,2027,,,,,,,,,,,,,,,,,,,,
Account,3,,,,,,,,,,The Washington Post,https://www.washingtonpost.com,jdoe@email.com,YourOwnPassword,FALSE,,,,,,,,,,,,,,
Account,3,,,,,,,,,,Ebay,https://www.ebay.com,email@example.com,YourOwnPassword,FALSE,,,,,,,,,,,,,,
Account,3,,,,,,,,,You can leave here notes about this account,Bitdefender Central,https://central.bitdefender.com,your@email.com,YourOwnPassword,FALSE,,,,,,,,,,,,,,
Account,3,,,,,,,,,,YouTube,https://www.youtube.com,jdoe@gmail.com,YourOwnPassword,FALSE,,,,,,,,,,,,,,
Account,3,,,,,,,,,,Speedtest,https://speedtest.net,john@doe.com,YourOwnPassword,FALSE,,,,,,,,,,,,,,
Note,1,,,,,,,,,,Driver license,,,,,"Arizona DRIVER LICENSE

9. CLASS D
9a. END NONE
12. REST NONE
4d. DLN D08954142
3. DOB 01/01/1974
1. SAMPLE
2. JELANI
8. 123 MAIN ST PHOENIX, AZ 85007
4b EXP 01/01/2039
4a ISS 03/01/2016
15. SEX M
16. HGT 5'-09""
17 WGT 185 lb
18 EYES BLU
19. HAIR BLO
5. DD 9001A9691S1427J4",6,,,,,,,,,,,,
Note,1,,,,,,,,,,SSN,,,,,001-11-9999,6,,,,,,,,,,,,
Note,1,,,,,,,,,,My passport,,,,,"Use this to securely store your passport information, addresses, Wi-Fi passwords or anything else you need to.",3,,,,,,,,,,,,
Note,1,,,,,,,,,,My Address,,,,,"Address: 123 MAIN ST, PHOENIX, AZ 85007

Phone: (+1) 954 281 4024",2,,,,,,,,,,,,
Note,1,,,,,,,,,,"Router Login - Username, Password and IP Address",,,,,"ASUS router model: GT-AX11000
Username: admin
Password: admin
IP Address: 192.168.1.1
SSID: ASUS_XX_2G.",5,,,,,,,,,,,,
Identity,1,,,,,,,,,personal note on the first identity,Identity son,,,,,,,Alex,Doe,Santa Clara,94041,Mountain View,"650 Castro Street, Mountain View",second address line,Bitdefender,second county,California,myson@email.com,(+44)2080991687
